id,climate,energy,environment,resources,sustainability,dedicated,total
MSAMUV01,0,0,0,0,0,0,0
MSPSYV01,0,0,0,0,0,0,0
MSSCOV01,0,0,0,0,0,0,0
MSSPOV01,0,1,0,0,0,0,1
MSPEDV01,0,0,0,0,0,0,0
P1SSHV01,0,0,0,0,0,0,0
E1BINV01,0,0,0,0,0,0,0
T1BCHV01,1,0,7,3,2,3,8
S1EDUV01,0,0,0,0,0,0,0
S1APSV01,0,0,0,0,0,0,0
P1SSCV01,0,0,1,0,1,2,2
P1SMAV01,0,0,0,0,0,0,0
P1SLGV01,0,0,0,0,0,0,0
P1SFRV01,0,0,0,0,0,0,0
P1SFLV01,0,0,0,0,0,0,0
P1PSCV01,0,0,0,0,1,0,1
P1PRIH01,0,0,0,0,0,0,0
P1PRIV01,0,0,0,0,0,0,0
P1EPSV01,0,0,0,0,0,0,0
P1COSV01,0,0,0,0,0,0,0
MSGERV99,0,0,0,0,0,0,0
MSANSV01,0,0,0,0,0,0,0
MMKINV01,0,0,0,0,0,0,0
M1KINV01,0,0,0,0,0,0,0
M1ERGV01,0,0,0,0,0,0,0
M1PODV01,0,0,0,0,0,0,0
M1PMOV01,0,0,0,0,0,0,0
M1SFEV01,0,0,0,0,0,0,0
M1ISGW01,0,0,0,0,0,0,0
M1LOGV01,0,0,0,0,0,0,0
M1AUDV01,0,0,0,0,0,0,0
MSSIRV01,0,0,0,0,0,0,0
M1BIMV01,0,0,0,0,0,0,0
M1BBMV01,0,0,8,0,0,0,8
M1BDIV01,0,0,0,0,0,0,0
