id,climate,energy,environment,resources,sustainability,dedicated
AESI-1-001,0,0,0,0,0,0
AESI-1-002,0,0,0,0,0,0
AESI-1-003,0,0,0,0,0,0
AESI-1-004,0,0,0,0,0,0
AESI-1-005,0,0,0,0,0,0
AESI-1-006,0,0,0,0,0,0
AESI-1-007,0,0,0,0,0,0
AESI-1-008,0,0,0,0,0,0
AESI-1-009,0,0,0,0,0,0
AESI-1-010,0,0,0,0,0,0
AESI-1-011,0,0,0,0,0,0
AESI-1-012,0,0,0,0,0,0
AESI-1-013,0,0,0,0,0,0
AESI-1-014,0,0,0,0,0,0
AESI-1-015,0,0,0,0,0,0
AESI-1-017,0,0,0,0,0,0
AESI-1-018,0,0,0,0,0,0
AESI-1-027,0,0,0,0,0,0
AESI-1-028,0,0,0,0,0,0
AESI-1-029,0,0,0,0,0,0
AESI-1-030,0,0,0,0,0,0
AESI-1-031,0,0,0,0,0,0
AESI-1-032,0,0,0,0,0,0
AESI-1-033,0,0,0,0,0,0
AESI-1-034,0,0,0,0,0,0
AESI-1-035,0,0,0,0,0,0
AESI-1-036,0,0,0,0,0,0
AESI-1-037,0,0,0,0,0,0
AESI-1-038,0,0,0,0,0,0
AESI-1-039,0,0,0,0,0,0
AGR-1-001,0,0,0,0,0,0
AGR-1-002,0,0,0,0,0,0
AGR-1-003,0,0,0,0,0,0
AGR-1-004,0,0,0,0,0,0
AGR-1-005,1,0,1,0,0,0
AGR-1-006,0,0,0,0,0,0
AGR-1-008,0,0,0,0,0,0
AGR-1-010,0,0,0,0,0,0
AGR-1-011,0,0,0,0,0,0
AGR-1-012,0,0,0,0,0,0
AGR-1-013,0,0,0,0,0,0
AGR-1-014,0,0,0,0,0,0
AGR-1-016,0,0,0,0,0,0
AGR-1-017,0,0,0,0,0,0
AGR-1-018,0,0,0,0,0,0
AGR-1-019,0,0,0,0,0,0
AGR-1-020,0,0,0,0,0,0
AGR-1-021,0,0,0,0,0,0
AGR-1-022,0,0,0,0,0,0
AGR-1-023,0,0,0,0,1,0
AGR-1-024,0,0,0,0,0,0
AGR-1-025,0,0,0,1,0,0
AGR-1-026,0,0,0,1,0,0
AGR-1-027,0,0,1,0,0,0
AGR-1-028,0,0,0,0,0,0
AGR-1-029,0,0,0,0,0,0
AGR-1-030,0,0,0,0,0,0
AGR-1-031,0,0,0,0,0,0
AGR-1-032,0,0,0,0,0,0
AGR-1-033,0,0,0,0,0,0
AGR-1-034,0,0,0,0,0,0
AGR-1-035,0,0,0,0,0,0
AGR-1-036,0,0,0,0,0,0
AGR-1-037,0,0,0,0,0,0
AGR-1-038,0,0,0,0,0,0
AGR-1-039,0,0,0,0,0,0
AGR-1-040,0,0,0,0,0,0
AGR-1-041,0,0,0,0,0,0
AGR-1-042,0,0,0,0,0,0
AGR-1-043,0,0,0,0,0,0
AGR-1-044,0,0,0,0,0,0
AGR-1-045,0,0,0,0,0,0
AGR-1-047,0,0,1,0,1,0
AGR-1-049,0,0,0,0,0,0
AGR-1-050,0,0,1,0,0,1
AGR-1-051,0,0,0,0,0,0
AGR-1-052,0,0,0,0,1,0
AGR-1-054,0,0,0,0,0,0
AGR-1-055,0,0,0,0,0,0
AGR-1-056,0,0,1,0,1,0
AGR-1-058,0,0,1,0,0,0
