id,climate,energy,environment,resources,sustainability,dedicated
1BCODE11Q,0,0,0,0,0,0
1BECPOL11Q,0,0,0,0,0,0
1BEEC111Q,0,0,0,0,0,0
1BHISID11Q,0,0,0,0,0,0
1BINTME11Q,0,0,0,0,0,0
1BLANAL11Q,0,0,0,0,0,0
1BLAND11Q,0,0,0,0,0,0
1BNAFL11Q,0,0,0,0,0,0
1BPHILO11Q,0,0,0,0,0,0
1BTHCOM11Q,0,0,0,0,0,0
1MACGB21Q,0,0,0,0,0,0
1MACNL21Q,0,0,0,0,0,0
1MACPC21Q,0,0,0,0,0,0
1MALGMD21Q,0,0,0,0,0,0
1MAPAC21Q,0,0,0,0,0,0
1MAPCMD21Q,0,0,0,0,0,0
1MAPJUR21Q,0,0,0,0,0,0
1MARRP21Q,0,0,0,0,0,0
1MASPE21Q,0,0,0,0,0,0
1MATCPT21Q,0,0,0,0,0,0
1MATPI121Q,0,0,0,0,0,0
1MATPI221Q,0,0,0,0,0,0
1MCCOR121Q,0,0,0,0,0,0
1MCCPC21Q,0,0,0,0,0,0
1MCEV1M21Q,0,0,0,0,0,0
1MCMACO21Q,0,0,0,0,0,0
1MCOINT21Q,0,0,0,0,0,0
1MCOMGI21Q,0,0,0,0,0,0
1MCOOIN21Q,0,0,0,0,0,0
1MCORG21Q,0,0,0,0,0,0
1MCPOLR21Q,0,0,0,0,0,0
1MCREAP21Q,0,0,0,0,0,0
1MDEON21Q,0,0,0,0,0,0
1MDISC21Q,0,0,0,0,0,0
1MDOCS21Q,0,0,0,0,0,0
1MDROSS21Q,0,0,0,0,0,0
1MECIC21Q,0,0,0,0,0,0
1MEFEME21Q,0,0,0,0,0,0
1MEPIS21Q,0,0,0,0,0,0
1MGEOE21Q,0,0,0,0,0,0
1MGESTM21Q,0,0,1,0,0,1
1MGSTRH21Q,0,0,0,0,0,0
1MGSTTL21Q,0,0,0,0,0,0
1MICEP21Q,0,0,0,0,0,0
1MJNPI21Q,0,0,0,0,0,0
1MLTMED21Q,0,0,0,0,0,0
1MMCOM21Q,0,0,0,0,0,0
1MMETH21Q,0,0,0,0,0,0
1MMICOM21Q,0,0,0,0,0,0
1MMODE21Q,0,0,0,0,0,0
1MMTREV21Q,0,0,0,0,0,0
1MNDLSC211,0,0,0,0,0,0
1MNEGOU2Q,0,0,0,0,0,0
1MNMESS21Q,0,0,0,1,1,0
1MNUME21Q,0,0,0,0,0,0
1MNVNAR21Q,0,0,0,0,0,0
1MPLAST21Q,0,0,0,0,0,0
1MPOLCT21Q,0,0,0,0,0,0
1MPREVE21Q,0,0,0,0,0,0
1MPRO221Q,0,0,0,0,0,0
1MPROAT21Q,0,0,0,0,0,0
1MPSYUS21Q,0,0,0,0,0,0
1MPTFE121Q,0,0,0,0,0,0
1MPTFEA21Q,0,0,0,0,0,0
1MQSAFR21Q,0,0,0,0,0,0
1MQSANL21Q,0,0,1,0,0,0
1MRCREA21Q,0,0,0,0,0,0
1MRECO21Q,0,0,0,0,0,0
1MRPDME21Q,0,0,0,0,0,0
1MSEMML21Q,0,0,0,0,0,0
1MSEMNE21Q,0,0,0,0,0,0
1MSGCOM21Q,0,0,0,0,0,0
1MSIRNS21Q,0,0,0,0,0,0
1MSIRNS22Q,0,0,0,0,0,0
1MSMATE21Q,0,0,0,0,0,0
1MSTORU21Q,0,0,0,0,0,0
1MSTRAU21Q,0,0,0,0,0,0
1MTFMEU21Q,0,0,0,0,0,0
1MTRMED21Q,0,0,0,0,0,0
1MVEIL21Q,0,0,0,0,0,0
1MWEPR21Q,0,0,0,0,0,0
2BAFSM12Q,0,0,0,0,0,0
2BANALL12Q,0,0,0,0,0,0
2BANNDL12Q,0,0,0,0,0,0
